time,type,thing,fisher,weight,worth,total
1717319586328,uncommon,Scrapermouth Mbuna,alfiMS,0.21,41,666
1717319749563,uncommon,Lobster,Chimepa1,1.07,75,379
1717320220078,common,Blue Discus,staggerrilla,0.2,20,726
1717320242429,uncommon,Lobster,bleepbloopinbot,0.86,60,732
1717320265046,rare,Orange-Spotted Spinefoot,alfiMS,0.1,73,739
1717320370295,junk,Thong,leonidovy4,0.17,2,484
1717320393149,rare,Sunfish,sione89,767,85,592
1717320414313,junk,Soda Can,surfeus,0.1,1,811
1717320478123,junk,Nugget,lightb0011,0.17,2,832
1717320532248,rare,Olive Ridley Turtle,puninupp,43,85,112
1717320580824,common,Pike,crayzeyez,1.11,11,404
1717320643030,rare,Mahi Mahi,t0x1nXz,15.8,85,190
1717320918254,uncommon,Rabbitfish,athne1,1.82,32,271
1717321244173,rare,Rainbow Cichlid,t0x1nXz,0.47,61,251
1717321346250,common,Black Spotted Grunt,mva255,4.73,19,98
1717321421431,rare,Red-knobbed Starfish,staggerrilla,0.11,78,804
1717321442657,junk,Nugget,bleepbloopinbot,0.22,2,734
1717321520488,junk,Coffee Cup,Chimepa1,0.2,2,381
1717321542344,uncommon,Murex Shellfish,alfiMS,0.42,33,772
1717321617212,junk,CB Longneck,elite_penguinchek,0.21,2,2
1717321819130,common,Salmon,Sarge_T,3.3,25,25
1717321840330,junk,Coffee Cup,Sarge_T,0.19,2,27
1717321862173,uncommon,Frontosa Cichlid,Sarge_T,0.49,34,61
1717321883913,common,Perch,surfeus,2.96,30,841
1717321906516,rare,Mahi Mahi,Sarge_T,13.5,72,133
1717321931332,epic,Eagle Ray,Sarge_T,192,183,316
1717322020241,rare,Oreochromis,sione89,2.53,84,676
1717322041476,junk,CB Longneck,athne1,0.22,2,273
1717322064025,rare,Red-knobbed Starfish,stecherdesgrauens,0.1,68,196
1717322620625,junk,Branch,staggerrilla,0.5,2,806
1717322642827,rare,Nimbochromis,bleepbloopinbot,2.48,54,788
1717322793701,uncommon,Golden Redeye Rudd,sasha5889,0.86,43,532
1717322818123,epic,Yellow Mandarin Fish,Chimepa1,0.18,164,545
1717323046290,rare,Tuna,fscktfs,242,116,116
1717323221658,common,Trout,t0x1nXz,0.86,13,264
1717323300236,rare,Green Sea Turtle,alfiMS,131,57,829
1717323375813,rare,Nimbochromis,athne1,2.85,62,335
1717323607927,uncommon,Watch,Chimepa1,0.18,45,590
1717323820751,common,Perch,staggerrilla,3.29,33,839
1717323842359,common,Mackerel,bleepbloopinbot,2.17,22,810
1717323863595,epic,Pineapple,ReioKimura,0.82,4,37
1717324152554,epic,Old PC,surfeus,21,215,1056
1717324280445,uncommon,Koi,athne1,13.5,53,388
1717324352128,uncommon,Electric Catfish,Chimepa1,21,56,646
1717324522716,common,Blue Discus,t0x1nXz,0.18,18,282
1717324760776,junk,Scooter,surfeus,14.5,48,1104
1717325013448,rare,Red Discus,sasha5889,0.34,76,608
1717325037572,epic,Yellow Mandarin Fish,staggerrilla,0.16,148,987
1717325060503,rare,Yellowtang,bleepbloopinbot,0.69,89,899
1717325083477,rare,Arapaima,Chimepa1,91,91,737
1717325142881,common,Barracuda,t0x1nXz,8,27,309
1717325259406,epic,Loggerhead Turtle,leonidovy4,117,121,605
1717325332241,common,Barracuda,athne1,7.6,25,413
1717325403795,common,Pike,DukeMozzarelli,1,10,10
1717325836508,uncommon,Triggerfish,mva255,18.3,82,180
1717325975476,junk,Soda Can,Chimepa1,0.1,1,738
1717326221945,rare,Parrot Fish,staggerrilla,1.64,57,1044
1717326244453,uncommon,Oyster,bleepbloopinbot,0.56,67,966
1717326479892,uncommon,Starfish,t0x1nXz,0.09,28,337
1717326590586,common,Black Redeye,iiiiq,33,25,25
1717326653201,junk,CB Longneck,iiiiq,0.19,2,27
1717326676149,uncommon,Triggerfish,iiiiq,19.9,90,117
1717326697370,junk,Henry's Shoe,iiiiq,1.75,4,121
1717326719371,uncommon,Golden Redeye Rudd,iiiiq,0.86,43,164
1717326743529,epic,Loggerhead Turtle,yasosus_bibus,144,149,149
1717326766389,uncommon,Triggerfish,iiiiq,18.6,84,248
1717326788512,uncommon,Koi,iiiiq,12.2,48,296
1717326810890,uncommon,Oyster,iiiiq,0.51,61,357
1717326832308,common,Trout,iiiiq,0.92,14,371
1717326854999,rare,Oreochromis,iiiiq,2.31,77,448
1717326877061,junk,Skateboard,iiiiq,2.69,45,493
1717326898891,uncommon,Sea Urchin,iiiiq,0.22,33,526
1717326920133,epic,Pineapple,iiiiq,0.86,4,530
1717326941841,common,Atlantic Cod,iiiiq,37,28,558
1717326963170,common,Mussel,iiiiq,0.09,9,567
1717326985284,uncommon,Butterfly Fish,iiiiq,0.1,47,614
1717327008253,rare,Arapaima,iiiiq,91,91,705
1717327029484,junk,Henry's Shoe,iiiiq,1.75,4,709
1717327052729,rare,Sunfish,iiiiq,943,105,814
1717327073945,junk,Branch,iiiiq,0.52,2,816
1717327095205,junk,Can,iiiiq,0.46,5,821
1717327118435,epic,Shrimp Toy,iiiiq,1.04,104,925
1717327139775,junk,Trolley,iiiiq,17.9,9,934
1717327161019,junk,Can,iiiiq,0.5,5,939
1717327182377,junk,Vape,iiiiq,0.22,11,950
1717327203940,common,Mackerel,iiiiq,1.97,20,970
1717327225663,junk,Bike,iiiiq,9.4,28,998
1717327247956,junk,Scooter,iiiiq,16.5,55,1053
1717327270453,rare,Red-knobbed Starfish,iiiiq,0.1,67,1120
1717327291675,junk,Can,iiiiq,0.44,4,1124
1717327313489,junk,Bike,iiiiq,11.1,33,1157
1717327334692,junk,Branch,iiiiq,0.43,2,1159
1717327357504,uncommon,Triggerfish,iiiiq,18.4,83,1242
1717327378682,junk,Soda Can,iiiiq,0.1,1,1243
1717327401021,rare,Parrot Fish,iiiiq,1.69,59,1302
1717327422593,common,Black Spotted Grunt,iiiiq,5.1,21,1323
1717327443823,junk,Fish Cracker,iiiiq,0.44,4,1327
1717327465145,common,Mussel,iiiiq,0.08,8,1335
1717327495312,legendary,Great White Shark,iiiiq,1,450,1785
